table_name,field_name,language,translation,record_id
trips,trip_headsign,zh-CN,香港西九龙,G5827
trips,trip_headsign,zh-CN,香港西九龙,G5649
trips,trip_headsign,zh-CN,香港西九龙,G5813
trips,trip_headsign,zh-CN,香港西九龙,G5829
trips,trip_headsign,zh-CN,香港西九龙,G6585
trips,trip_headsign,zh-CN,香港西九龙,G5651
trips,trip_headsign,zh-CN,香港西九龙,G5861
trips,trip_headsign,zh-CN,香港西九龙,G5831
trips,trip_headsign,zh-CN,香港西九龙,G5653
trips,trip_headsign,zh-CN,香港西九龙,G5823
trips,trip_headsign,zh-CN,香港西九龙,G5655
trips,trip_headsign,zh-CN,香港西九龙,G5825
trips,trip_headsign,zh-CN,香港西九龙,G6587
trips,trip_headsign,zh-CN,香港西九龙,G5689
trips,trip_headsign,zh-CN,香港西九龙,G5865
agency,agency_name,en,High Speed Rail,highspeed
agency,agency_fare_url,en,https://www.highspeed.mtr.com.hk/sc/main/buy-ticket.html,highspeed
stops,stop_name,en,Hong Kong West Kowloon,WEK
stops,stop_name,en,Hong Kong West Kowloon,WEK_pf
stops,stop_name,en,Futian,FUT
stops,stop_name,en,Futian,FUT_pf56
stops,stop_name,en,Futian,FUT_pf78
stops,stop_name,en,Shenzhenbei,SZB
stops,stop_name,en,Shenzhenbei,SZB_pf
stops,stop_name,en,Guangmingcheng,GMC
stops,stop_name,en,Guangmingcheng,GMC_pf1
stops,stop_name,en,Guangmingcheng,GMC_pf2
stops,stop_name,en,Humen,HUM
stops,stop_name,en,Humen,HUM_pf12
stops,stop_name,en,Humen,HUM_pf34
stops,stop_name,en,Nanshabei,QIS
stops,stop_name,en,Nanshabei,QIS_pf1
stops,stop_name,en,Nanshabei,QIS_pf2
stops,stop_name,en,Guangzhounan,GZN
stops,stop_name,en,Guangzhounan,GZN_pf
routes,route_short_name,en,High Speed Rail,XRL
routes,route_long_name,en,Guangzhou-Shenzhen-Hong Kong High Speed Rail,XRL
attributions,organization_name,en,MTR Corporation Limited,MTR
trips,trip_headsign,en,Shenzhenbei,G5624
trips,trip_headsign,en,Futian,G5820
trips,trip_headsign,en,Shenzhenbei,G5636
trips,trip_headsign,en,Futian,G5822
trips,trip_headsign,en,Shenzhenbei,G5626
trips,trip_headsign,en,Guangzhounan,G6582
trips,trip_headsign,en,Shenzhenbei,G5638
trips,trip_headsign,en,Futian,G5812
trips,trip_headsign,en,Shenzhenbei,G5628
trips,trip_headsign,en,Shenzhenbei,G5640
trips,trip_headsign,en,Futian,G5816
trips,trip_headsign,en,Shenzhenbei,G5630
trips,trip_headsign,en,Guangzhounan,G6584
trips,trip_headsign,en,Futian,G5818
trips,trip_headsign,en,Shenzhenbei,G5642
trips,trip_headsign,en,Shenzhenbei,G5632
trips,trip_headsign,en,Futian,G5858
trips,trip_headsign,en,Shenzhenbei,G5644
trips,trip_headsign,en,Futian,G5808
trips,trip_headsign,en,Shenzhenbei,G5620
trips,trip_headsign,en,Shenzhenbei,G5646
trips,trip_headsign,en,Futian,G5810
trips,trip_headsign,en,Futian,G5860
trips,trip_headsign,en,Shenzhenbei,G5622
trips,trip_headsign,en,Futian,G5806
trips,trip_headsign,en,Shenzhenbei,G5634
